;movieName;Metascore_w;Author;AuthorHref;Summary;origin_rating
0;pulp-fiction;10;796712;/user/796712;[];8
1;inception;10;eagleeyeviking;/user/eagleeyeviking;"[ ""Inception is a spider's web woven with such intricacy that only when focused, you can find a way out. With brilliant material for the brilliant cast to work on, Inception delivers a complex masterpiece at an intellectual as well as visceral level. Top-notch directing, acting, cinematography, editing and Hans Zimmer's brilliant soundtrack only cements this as a modern classic."" ]";9
2;the-dark-knight;10;eagleeyeviking;/user/eagleeyeviking;[];9
3;grease;10;Paxster;/user/Paxster;"[ ""This is surely one of the few 'cool' musicals. Travolta, the model of a man. Newton-John the model of a woman. Dance sequences that are so fluid you think they could melt at any moment. Classic Lines, cult cast, the heaven of musicals. 'Tell Me more, Tell Me more'. I can't, just watch the bloody film."" ]";9
4;toy-story;10;Paxster;/user/Paxster;[];9
5;eternal-sunshine-of-the-spotless-mind;10;Paxster;/user/Paxster;"[ ""Jim Carey is no Ace Ventura, he is a real and serious actor with enduring qualities. In Eternal Sunshine of The Spotless Mind he shows this in an abundance. The story is just as good as well. It has enough real emotion to keep you hooked and enough dreamy sequence to keep your mind ticking over long after you have finished. That nightmarish image of The Melting Face reminds us we must keep memory...for it's all we have. Cinema that would make God happy."" ]";9
6;borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan;10;Paxster;/user/Paxster;"[ ""It's a little genius of a comic film with a genius comic behind him. Baron Cohen somehow mixes the ridiculous with the believeable to make people think he really is Borat and then makes the American people look stupid and foolish. But is there some dark, underlying, non-comic theme here? Maybe America isn't such a great nation as we all like to think."" ]";9
7;mulholland-dr;10;Paxster;/user/Paxster;"[ ""Mulholland Drive somehow mixes realism and surrealism together? Somehow leaves you wanting more? Somehow compels you to watch it again and again? How these affects occur is unknown. All I do know is that it is my favourite Lynch movie and is well worthy of its 'universal acclaim' tag. The brilliance of cinema in one film."" ]";9
8;the-shining;10;Paxster;/user/Paxster;"[ ""I'll be honest, I hate horror. The Shining is possibly the only horror film that has ever ingnited something within my interest. It's brilliant,daring and most importantly, not cliche. Surely the highlight of the film is the use of steadicam following the child around the place like some haunting ghost. Another superb achievement from Kubrick."" ]";9
9;waynes-world;10;Paxster;/user/Paxster;[];9
